id,understanding_level,prototype,question,ground_truth_rule,ground_truth,Answer Type,data_samples,metric,note,explanation
ad_1,Factual,Missing signal,What percentage of my CGM data is missing?,Periods between data points with label: missing_signal. Compute the sum of all periods and divide by the total data period,Percentage,Value,Injecting Missing Signal,sMAPE,,"Identify all periods where the glucose readings are invalid (e.g., NaN or null) or gaps between consecutive timestamps exceeding the expected sampling interval. Sum the total duration of these missing periods, and divide by the full time range to calculate the percentage of missing data."
ad_2,Factual,Missing signal,"Which specific days had more than 30% missing data, making it difficult to interpret trends?",Days with data missing > 30%,"[days] if any, or [] (e.g., [3, 6, 8])",Class,"Randomly select 3 days injecting >30% Missing Signal
 ",Accuracy,,"Identify each calendar day in the CGM dataset, calculate the percentage of missing data for that day by dividing the duration of missing readings by the total expected duration, and flag any day where this percentage exceeds 30%, as such days may be unreliable for interpreting glucose trends."
ad_3,Factual,Missing signal,When was my CGM data not recorded during the monitoring period?,Periods between data points with label: missing_signal. ,"[(t1, t2), (t3, t4), ...] if any, or [] (apply to all the following interval Event answer type)",Interval Event,Injecting Missing Signal,Affinity F-score,,"Identify all time intervals where CGM data was not recorded—either marked by missing values (e.g., NaN) or gaps between consecutive timestamps exceeding the expected sampling interval."
ad_4,Factual,Spike readings,"At which timestamps did the CGM data show implausible drops in glucose levels?
",Timestamps of data points with label: negative_spike,"[(t1, t1+1), (t2, t2+1), ...] if any, or [] (apply to all the following Point Event answer type)",Point Event,Injecting Negative Spike Readings,Affinity F-score,,Scan the CGM data for timestamps where the glucose levels rise or fall sharply compared to surrounding readings. Record the timestamps where these abrupt and implausible drops occur.
ad_5,Factual,Abnormal,When did any injected faults or abnormalities occur in the CGM data?,Timestamps of data points of all labelled injected CGM-related faulty data,"[(t1, t1+1), (t2, t2+1), ...] if any, or []",Point Event,,Affinity F-score,,"Examine the CGM data for periods containing patterns that exceed normal behaviours. For example, positive or negative spike readings (sudden, implausible changes in glucose levels), repeated readings (identical values across multiple timestamps), positive or negative biased readings (consistent offset from expected levels), minimize or maximize readings (artificial flattening at extreme low or high values), zero readings (glucose values exactly zero), and repeated episodes (segments of data that repeat over time)."
ad_6,Knowledge,Repeated readings,At what time intervals do prolonged repeated CGM readings occur that may indicate a data logging error?,Timestamps of data points with label: repeated_reading ,"{[repeat_start, repeat_end], ...} if any, or {}",Interval Event,Injecting Repeated Readings,Affinity F-score,,Scan the dataset for consecutive timestamps that have identical glucose values. These repeated values over multiple time points and prolonged duration may indicate a potential data logging error.
ad_7,Factual,Repeated readings,When did the CGM sensor produce unchanged readings for a prolonged time?,Timestamps of data points with label: repeated_reading,"{[repeat_start, repeat_end], ...} if any, or {}",Interval Event,Injecting Repeated Readings longer than 3 hours,Affinity F-score,,Examine the data for stretches of consecutive timestamps where the glucose value remains exactly the same. Identify the period during which these unchanged readings occur continuously over an extended duration.
ad_8,Knowledge,Loss of sensitivity to  glucose,During which time intervals might the CGM sensor have been dislodged?,"Timestamps of data points with label: positive_spike, negative_spike, repeated_reading or zero_reading ","{[repeat_start, repeat_end], ...} U {[zero_start, zero_end], ...}  if any, or {}",Interval Event,Injecting Repeated Readings and Zero Readings,Affinity F-score,,"To determine when the CGM sensor may have been dislodged, examine the data for patterns indicating a loss of sensitivity to glucose. These include blood glucose readings dropping to zero, remaining unchanged over an extended period (even with slight noise), or showing sudden spikes inconsistent with physiological behavior. Such anomalies may result from incomplete subcutaneous insertion or sensor dislocation, and the corresponding time intervals can signal potential sensor displacement."
ad_9,Knowledge,Miscalibration,When did the CGM record abrupt glucose changes possibly caused by calibration errors?,Peirods of data points with label: positive_bias or negative_bias,"[positive_spikes] U [negative_spikes]  if any, or []",Point Event,Injecting Positive Spike Readings and Negative Spike Readings,Affinity F-score,,"Incorrect calibration practices, such as calibrating during rapidly changing glucose levels (due to the physiological time lag), infrequent calibration, or calibrating at low values during unstable local glucose conditions after long-term implantation, can lead to positive or negative biases in the glucose readings. To identify these periods, examine the data for timestamps showing sudden, sharp increases or decreases in glucose values, followed by a sustained deviation—either higher or lower—from expected glucose levels. "
ad_10,Factual,Spike readings,When did my CGM show abrupt glucose spikes that returned to normal without corresponding insulin delivery?,Timestamps of data points with label: positive_spike,"[positive_spikes] if any, or []",Point Event,Injecting Positive Spike Readings,Affinity F-score,,"Examine the data for time points marked by noticeable glucose spikes. These spikes should stand out as rapid rises followed by a swift return to normal levels, occurring independently of any recorded bolus insulin delivery or activities during the same periods."
